,persnr,time,workSampleTest,b5cons,b5extra,b5open,b5emos,b5agree,riskAversion,age,experience,bonus,performance
76,19,0,120.0,-1.5,-0.2,2.8,0.6,0.5,-0.6,63,42,0,522.8848407320235
77,19,1,120.0,-1.5,-0.2,2.8,0.6,0.5,-0.6,64,43,0,19.63528264485214
78,19,2,120.0,-1.5,-0.2,2.8,0.6,0.5,-0.6,65,44,0,141.07877297759924
79,19,3,120.0,-1.5,-0.2,2.8,0.6,0.5,-0.6,66,45,1,197.51114959259115
80,20,0,99.0,-0.7,-1.0,-0.1,-0.7,0.5,0.7,65,40,0,50.16432624155338
81,20,1,99.0,-0.7,-1.0,-0.1,-0.7,0.5,0.7,66,41,0,79.27642461706736
82,20,2,99.0,-0.7,-1.0,-0.1,-0.7,0.5,0.7,67,42,0,21.011758488965896
83,20,3,99.0,-0.7,-1.0,-0.1,-0.7,0.5,0.7,68,43,0,1.829745569835893
84,21,0,106.0,1.3,-0.5,-0.0,2.4,1.5,0.7,23,0,0,236.0889400206555
85,21,1,106.0,1.3,-0.5,-0.0,2.4,1.5,0.7,24,1,0,156.4147547297752
86,21,2,106.0,1.3,-0.5,-0.0,2.4,1.5,0.7,25,2,0,166.0942249459838
87,21,3,106.0,1.3,-0.5,-0.0,2.4,1.5,0.7,26,3,0,165.03674959126005
88,22,0,112.0,-1.4,-0.8,0.1,0.0,-0.0,0.3,51,26,0,173.9970506189265
89,22,1,112.0,-1.4,-0.8,0.1,0.0,-0.0,0.3,52,27,0,223.81030712433227
90,22,2,112.0,-1.4,-0.8,0.1,0.0,-0.0,0.3,53,28,0,329.483530081608
91,22,3,112.0,-1.4,-0.8,0.1,0.0,-0.0,0.3,54,29,1,-37.11061896872954
92,23,0,125.0,0.7,0.4,1.9,0.6,0.5,-0.3,38,9,0,357.3313667691418
93,23,1,125.0,0.7,0.4,1.9,0.6,0.5,-0.3,39,10,1,321.6040232851513
94,23,2,125.0,0.7,0.4,1.9,0.6,0.5,-0.3,40,11,1,252.71237570056923
95,23,3,125.0,0.7,0.4,1.9,0.6,0.5,-0.3,41,12,1,278.55647691565946
96,24,0,77.0,0.7,-0.3,0.3,2.9,0.6,-0.5,66,41,0,-36.13852463416595
97,24,1,77.0,0.7,-0.3,0.3,2.9,0.6,-0.5,67,42,0,171.45677418401561
98,24,2,77.0,0.7,-0.3,0.3,2.9,0.6,-0.5,68,43,0,65.65812827310185
99,24,3,77.0,0.7,-0.3,0.3,2.9,0.6,-0.5,69,44,0,23.651016643701453
100,25,0,100.0,-1.5,1.1,1.0,1.3,0.5,-1.4,35,8,0,204.4935860297869
101,25,1,100.0,-1.5,1.1,1.0,1.3,0.5,-1.4,36,9,0,86.780343272415
102,25,2,100.0,-1.5,1.1,1.0,1.3,0.5,-1.4,37,10,0,38.49533433887886
103,25,3,100.0,-1.5,1.1,1.0,1.3,0.5,-1.4,38,11,0,6.395459640726365
104,26,0,66.0,0.3,1.1,1.4,-2.1,1.3,0.3,29,7,0,0.04511359560501127
105,26,1,66.0,0.3,1.1,1.4,-2.1,1.3,0.3,30,8,0,79.91826450502779
106,26,2,66.0,0.3,1.1,1.4,-2.1,1.3,0.3,31,9,0,-26.994321629048024
107,26,3,66.0,0.3,1.1,1.4,-2.1,1.3,0.3,32,10,0,106.04648391152658
108,27,0,90.0,0.1,0.0,0.9,-0.6,-1.3,1.3,51,24,0,182.22233692931638
109,27,1,90.0,0.1,0.0,0.9,-0.6,-1.3,1.3,52,25,0,54.83272551080654
110,27,2,90.0,0.1,0.0,0.9,-0.6,-1.3,1.3,53,26,0,-14.866775388292467
111,27,3,90.0,0.1,0.0,0.9,-0.6,-1.3,1.3,54,27,0,138.8150390839362
112,28,0,129.0,0.5,-0.6,-2.3,0.0,1.1,0.4,36,14,0,181.9882983843226
113,28,1,129.0,0.5,-0.6,-2.3,0.0,1.1,0.4,37,15,1,100.97370939380973
114,28,2,129.0,0.5,-0.6,-2.3,0.0,1.1,0.4,38,16,1,517.4444064515425
115,28,3,129.0,0.5,-0.6,-2.3,0.0,1.1,0.4,39,17,1,263.7241136752847
116,29,0,81.0,-0.4,0.8,-0.4,-0.6,1.5,1.4,23,1,0,4.013217664567378
117,29,1,81.0,-0.4,0.8,-0.4,-0.6,1.5,1.4,24,2,0,70.37616706435946
118,29,2,81.0,-0.4,0.8,-0.4,-0.6,1.5,1.4,25,3,0,141.5083540802154
119,29,3,81.0,-0.4,0.8,-0.4,-0.6,1.5,1.4,26,4,0,39.36762447909527
120,30,0,102.0,2.4,1.6,0.1,0.0,-0.1,0.5,63,40,0,152.07327841122626
121,30,1,102.0,2.4,1.6,0.1,0.0,-0.1,0.5,64,41,1,178.4912452816515
122,30,2,102.0,2.4,1.6,0.1,0.0,-0.1,0.5,65,42,1,232.33642624162576
123,30,3,102.0,2.4,1.6,0.1,0.0,-0.1,0.5,66,43,1,450.9372327487768
124,31,0,108.0,-0.4,0.8,-1.8,-1.3,1.2,0.9,48,19,0,123.96835535895791
125,31,1,108.0,-0.4,0.8,-1.8,-1.3,1.2,0.9,49,20,0,211.58143000261072
126,31,2,108.0,-0.4,0.8,-1.8,-1.3,1.2,0.9,50,21,1,391.35975803807514
127,31,3,108.0,-0.4,0.8,-1.8,-1.3,1.2,0.9,51,22,1,274.70542707131636
128,32,0,125.0,-0.2,0.6,-0.9,-1.2,-0.1,-0.1,48,24,0,229.61519590047706
129,32,1,125.0,-0.2,0.6,-0.9,-1.2,-0.1,-0.1,49,25,0,198.28239424526063
130,32,2,125.0,-0.2,0.6,-0.9,-1.2,-0.1,-0.1,50,26,0,389.911321761017
131,32,3,125.0,-0.2,0.6,-0.9,-1.2,-0.1,-0.1,51,27,1,331.4282386581408
132,33,0,104.0,-0.1,-1.1,-2.5,1.2,1.7,2.5,54,25,0,145.0376936929412
133,33,1,104.0,-0.1,-1.1,-2.5,1.2,1.7,2.5,55,26,0,0.32745186374380353
134,33,2,104.0,-0.1,-1.1,-2.5,1.2,1.7,2.5,56,27,0,173.665419587423
135,33,3,104.0,-0.1,-1.1,-2.5,1.2,1.7,2.5,57,28,0,52.348250438198534
136,34,0,83.0,-1.7,0.4,1.0,-0.4,-1.5,-2.2,38,16,0,-65.93781741626121
137,34,1,83.0,-1.7,0.4,1.0,-0.4,-1.5,-2.2,39,17,0,66.33159881339043
138,34,2,83.0,-1.7,0.4,1.0,-0.4,-1.5,-2.2,40,18,0,9.139036941260272
139,34,3,83.0,-1.7,0.4,1.0,-0.4,-1.5,-2.2,41,19,1,216.92260334553765
140,35,0,83.0,-1.0,-2.4,-0.5,1.6,-0.9,0.7,23,2,0,45.66977598768212
141,35,1,83.0,-1.0,-2.4,-0.5,1.6,-0.9,0.7,24,3,0,-82.63697459243168
142,35,2,83.0,-1.0,-2.4,-0.5,1.6,-0.9,0.7,25,4,0,0.3017425356302237
143,35,3,83.0,-1.0,-2.4,-0.5,1.6,-0.9,0.7,26,5,0,96.89045588680675
144,36,0,91.0,-0.1,-3.2,-0.8,0.1,-0.4,-0.6,62,34,0,154.16795994457317
145,36,1,91.0,-0.1,-3.2,-0.8,0.1,-0.4,-0.6,63,35,0,210.24524082425836
146,36,2,91.0,-0.1,-3.2,-0.8,0.1,-0.4,-0.6,64,36,0,173.81594089156053
147,36,3,91.0,-0.1,-3.2,-0.8,0.1,-0.4,-0.6,65,37,0,184.59391869569345
148,37,0,104.0,-0.3,-0.0,0.5,-0.6,0.7,0.2,57,29,0,157.34068174624167
149,37,1,104.0,-0.3,-0.0,0.5,-0.6,0.7,0.2,58,30,0,300.6685115588826
150,37,2,104.0,-0.3,-0.0,0.5,-0.6,0.7,0.2,59,31,0,72.33588943897173
151,37,3,104.0,-0.3,-0.0,0.5,-0.6,0.7,0.2,60,32,0,244.73210712968918
152,38,0,118.0,2.0,-0.5,-1.0,-0.5,-2.2,1.4,20,0,0,10.51230513605617
153,38,1,118.0,2.0,-0.5,-1.0,-0.5,-2.2,1.4,21,1,0,16.22189340912645
154,38,2,118.0,2.0,-0.5,-1.0,-0.5,-2.2,1.4,22,2,0,318.2058505003421
155,38,3,118.0,2.0,-0.5,-1.0,-0.5,-2.2,1.4,23,3,0,164.98614061592434
156,39,0,103.0,-0.2,0.5,-0.7,-1.1,1.8,-0.7,27,5,0,73.90520866823354
157,39,1,103.0,-0.2,0.5,-0.7,-1.1,1.8,-0.7,28,6,0,139.05022618208625
158,39,2,103.0,-0.2,0.5,-0.7,-1.1,1.8,-0.7,29,7,0,95.64039093931012
159,39,3,103.0,-0.2,0.5,-0.7,-1.1,1.8,-0.7,30,8,0,262.3090462645623
160,40,0,109.0,0.7,-1.0,1.3,0.2,0.8,0.3,29,6,0,208.10126551632447
161,40,1,109.0,0.7,-1.0,1.3,0.2,0.8,0.3,30,7,0,134.84664287300757
162,40,2,109.0,0.7,-1.0,1.3,0.2,0.8,0.3,31,8,1,279.42254353420435
163,40,3,109.0,0.7,-1.0,1.3,0.2,0.8,0.3,32,9,1,255.16338102959347
164,41,0,98.0,-1.7,1.2,-0.9,1.3,-0.0,1.5,20,0,0,141.14531791731127
165,41,1,98.0,-1.7,1.2,-0.9,1.3,-0.0,1.5,21,1,0,161.05026877533095
166,41,2,98.0,-1.7,1.2,-0.9,1.3,-0.0,1.5,22,2,0,109.05804049937979
167,41,3,98.0,-1.7,1.2,-0.9,1.3,-0.0,1.5,23,3,0,112.39699475814885
168,42,0,104.0,1.1,-0.9,0.2,-0.2,0.5,1.6,64,43,0,251.35267654254528
169,42,1,104.0,1.1,-0.9,0.2,-0.2,0.5,1.6,65,44,0,299.529751806066
170,42,2,104.0,1.1,-0.9,0.2,-0.2,0.5,1.6,66,45,0,312.5396693354478
171,42,3,104.0,1.1,-0.9,0.2,-0.2,0.5,1.6,67,46,0,300.63909557012585
172,43,0,85.0,0.4,0.7,0.6,-0.4,0.5,-0.6,36,9,0,257.99645872361725
173,43,1,85.0,0.4,0.7,0.6,-0.4,0.5,-0.6,37,10,0,-37.83098889312802
174,43,2,85.0,0.4,0.7,0.6,-0.4,0.5,-0.6,38,11,0,145.76812204599048
175,43,3,85.0,0.4,0.7,0.6,-0.4,0.5,-0.6,39,12,0,159.90121330122605
176,44,0,133.0,0.5,-0.4,1.1,-0.9,1.9,0.0,56,29,0,248.35470221362263
177,44,1,133.0,0.5,-0.4,1.1,-0.9,1.9,0.0,57,30,0,139.16614792879017
178,44,2,133.0,0.5,-0.4,1.1,-0.9,1.9,0.0,58,31,1,353.3909006164186
179,44,3,133.0,0.5,-0.4,1.1,-0.9,1.9,0.0,59,32,1,93.81565050110609
180,45,0,84.0,-0.7,0.7,0.6,-0.7,0.8,0.5,55,27,0,107.17452737787734
181,45,1,84.0,-0.7,0.7,0.6,-0.7,0.8,0.5,56,28,0,267.33523768829605
182,45,2,84.0,-0.7,0.7,0.6,-0.7,0.8,0.5,57,29,0,68.02462997068444
183,45,3,84.0,-0.7,0.7,0.6,-0.7,0.8,0.5,58,30,0,182.76790889341717
184,46,0,115.0,-1.5,-0.3,1.4,0.0,-1.0,-0.4,32,6,0,181.36468812935772
185,46,1,115.0,-1.5,-0.3,1.4,0.0,-1.0,-0.4,33,7,0,14.053044227370364
186,46,2,115.0,-1.5,-0.3,1.4,0.0,-1.0,-0.4,34,8,0,41.53314257624049
187,46,3,115.0,-1.5,-0.3,1.4,0.0,-1.0,-0.4,35,9,1,231.90730393155567
188,47,0,118.0,0.6,-0.3,-0.8,0.7,1.1,-0.0,41,16,0,183.46281517661978
189,47,1,118.0,0.6,-0.3,-0.8,0.7,1.1,-0.0,42,17,0,194.9759828730103
190,47,2,118.0,0.6,-0.3,-0.8,0.7,1.1,-0.0,43,18,1,217.2293744938078
191,47,3,118.0,0.6,-0.3,-0.8,0.7,1.1,-0.0,44,19,1,70.70876204976955
192,48,0,100.0,0.3,1.0,-0.8,0.7,-0.2,1.2,63,40,0,132.27955413268342
193,48,1,100.0,0.3,1.0,-0.8,0.7,-0.2,1.2,64,41,0,45.09030513874916
194,48,2,100.0,0.3,1.0,-0.8,0.7,-0.2,1.2,65,42,1,174.621491618505
195,48,3,100.0,0.3,1.0,-0.8,0.7,-0.2,1.2,66,43,1,207.89224238470283
196,49,0,97.0,2.1,0.0,0.1,0.4,-1.4,0.4,36,16,0,56.26888103814234
197,49,1,97.0,2.1,0.0,0.1,0.4,-1.4,0.4,37,17,0,19.357287725838034
198,49,2,97.0,2.1,0.0,0.1,0.4,-1.4,0.4,38,18,1,292.9162308221632
199,49,3,97.0,2.1,0.0,0.1,0.4,-1.4,0.4,39,19,1,-85.36899599092317
200,50,0,92.0,2.3,-0.2,-0.3,1.4,-0.3,0.4,23,2,0,313.88125499986756
201,50,1,92.0,2.3,-0.2,-0.3,1.4,-0.3,0.4,24,3,0,220.70932368535819
202,50,2,92.0,2.3,-0.2,-0.3,1.4,-0.3,0.4,25,4,0,98.96531219572047
203,50,3,92.0,2.3,-0.2,-0.3,1.4,-0.3,0.4,26,5,1,514.2439221331128
204,51,0,89.0,0.2,-1.1,-0.7,0.1,-0.5,-0.1,25,3,0,156.1981484043787
205,51,1,89.0,0.2,-1.1,-0.7,0.1,-0.5,-0.1,26,4,0,219.2526073124511
206,51,2,89.0,0.2,-1.1,-0.7,0.1,-0.5,-0.1,27,5,0,-17.46830664617613
207,51,3,89.0,0.2,-1.1,-0.7,0.1,-0.5,-0.1,28,6,0,66.18821572963604
208,52,0,78.0,0.5,1.6,0.9,-0.7,0.9,-0.7,59,37,0,43.41984292844376
209,52,1,78.0,0.5,1.6,0.9,-0.7,0.9,-0.7,60,38,0,264.1407090236888
210,52,2,78.0,0.5,1.6,0.9,-0.7,0.9,-0.7,61,39,1,70.00868990092265
211,52,3,78.0,0.5,1.6,0.9,-0.7,0.9,-0.7,62,40,1,133.71309083576227
212,53,0,103.0,-0.4,-1.7,-0.7,1.5,-0.6,1.2,55,35,0,136.55609803463156
213,53,1,103.0,-0.4,-1.7,-0.7,1.5,-0.6,1.2,56,36,0,165.10570886452868
214,53,2,103.0,-0.4,-1.7,-0.7,1.5,-0.6,1.2,57,37,0,20.474051201935083
215,53,3,103.0,-0.4,-1.7,-0.7,1.5,-0.6,1.2,58,38,0,153.7249016281226
216,54,0,104.0,-0.7,1.0,-0.1,-0.3,1.2,1.0,43,17,0,179.5383081405221
217,54,1,104.0,-0.7,1.0,-0.1,-0.3,1.2,1.0,44,18,1,96.45130276650661
218,54,2,104.0,-0.7,1.0,-0.1,-0.3,1.2,1.0,45,19,1,175.20812588573796
219,54,3,104.0,-0.7,1.0,-0.1,-0.3,1.2,1.0,46,20,1,219.39335445457928
220,55,0,87.0,1.5,-0.2,0.1,-1.5,-0.8,0.9,47,23,0,6.390277484164926
221,55,1,87.0,1.5,-0.2,0.1,-1.5,-0.8,0.9,48,24,0,13.350965963175227
222,55,2,87.0,1.5,-0.2,0.1,-1.5,-0.8,0.9,49,25,0,223.41751748620163
223,55,3,87.0,1.5,-0.2,0.1,-1.5,-0.8,0.9,50,26,0,8.6835684243528
224,56,0,115.0,-0.7,-0.9,-0.4,-0.1,-0.8,0.1,39,14,0,110.52914434264557
225,56,1,115.0,-0.7,-0.9,-0.4,-0.1,-0.8,0.1,40,15,0,220.3850508893026
226,56,2,115.0,-0.7,-0.9,-0.4,-0.1,-0.8,0.1,41,16,0,-38.50892542167465
227,56,3,115.0,-0.7,-0.9,-0.4,-0.1,-0.8,0.1,42,17,0,42.46317650189877
228,57,0,93.0,-1.1,-0.4,-0.7,-0.1,-0.5,-0.9,24,4,0,-219.66149693070412
229,57,1,93.0,-1.1,-0.4,-0.7,-0.1,-0.5,-0.9,25,5,0,-45.05377036821362
230,57,2,93.0,-1.1,-0.4,-0.7,-0.1,-0.5,-0.9,26,6,0,-31.898819478349438
231,57,3,93.0,-1.1,-0.4,-0.7,-0.1,-0.5,-0.9,27,7,0,85.86628383768101
232,58,0,95.0,-0.6,-0.5,0.2,1.4,-0.3,0.6,49,23,0,118.91231378290738
233,58,1,95.0,-0.6,-0.5,0.2,1.4,-0.3,0.6,50,24,0,396.4745351346535
234,58,2,95.0,-0.6,-0.5,0.2,1.4,-0.3,0.6,51,25,0,35.36991414534016
235,58,3,95.0,-0.6,-0.5,0.2,1.4,-0.3,0.6,52,26,0,182.45702237185043
236,59,0,85.0,-0.3,0.2,-0.4,-0.1,0.6,-0.8,23,2,0,134.3371489738586
237,59,1,85.0,-0.3,0.2,-0.4,-0.1,0.6,-0.8,24,3,0,211.56442595805203
238,59,2,85.0,-0.3,0.2,-0.4,-0.1,0.6,-0.8,25,4,0,112.03342745696938
239,59,3,85.0,-0.3,0.2,-0.4,-0.1,0.6,-0.8,26,5,0,81.07171910345981
240,60,0,100.0,-0.1,-0.5,-0.3,-2.0,-0.6,-0.9,21,0,0,-63.89621778578342
241,60,1,100.0,-0.1,-0.5,-0.3,-2.0,-0.6,-0.9,22,1,0,191.9712364424486
242,60,2,100.0,-0.1,-0.5,-0.3,-2.0,-0.6,-0.9,23,2,1,273.8320116811464
243,60,3,100.0,-0.1,-0.5,-0.3,-2.0,-0.6,-0.9,24,3,1,28.833303082658688
244,61,0,119.0,0.5,0.5,1.2,-0.2,-1.4,2.8,37,16,0,141.22922319263853
245,61,1,119.0,0.5,0.5,1.2,-0.2,-1.4,2.8,38,17,0,430.50867137683156
246,61,2,119.0,0.5,0.5,1.2,-0.2,-1.4,2.8,39,18,0,183.35415684260352
247,61,3,119.0,0.5,0.5,1.2,-0.2,-1.4,2.8,40,19,0,97.28136900283184
248,62,0,101.0,0.7,-1.0,0.4,0.0,-1.5,-0.4,50,27,0,147.85292486443112
249,62,1,101.0,0.7,-1.0,0.4,0.0,-1.5,-0.4,51,28,0,167.67302825253125
250,62,2,101.0,0.7,-1.0,0.4,0.0,-1.5,-0.4,52,29,0,173.13721670792262
251,62,3,101.0,0.7,-1.0,0.4,0.0,-1.5,-0.4,53,30,0,144.72894506941884
252,63,0,94.0,1.7,0.7,0.2,-0.1,-0.5,-0.9,64,38,0,21.756130703456307
253,63,1,94.0,1.7,0.7,0.2,-0.1,-0.5,-0.9,65,39,0,-118.88818709994533
254,63,2,94.0,1.7,0.7,0.2,-0.1,-0.5,-0.9,66,40,0,47.08741713291415
255,63,3,94.0,1.7,0.7,0.2,-0.1,-0.5,-0.9,67,41,0,144.8477433354239
256,64,0,90.0,1.0,-0.2,-0.7,1.1,-1.2,-0.1,46,23,0,164.32821649231715
257,64,1,90.0,1.0,-0.2,-0.7,1.1,-1.2,-0.1,47,24,0,89.40601723740942
258,64,2,90.0,1.0,-0.2,-0.7,1.1,-1.2,-0.1,48,25,0,222.24165540821622
259,64,3,90.0,1.0,-0.2,-0.7,1.1,-1.2,-0.1,49,26,0,38.80778742252963
260,65,0,122.0,1.0,-2.0,-0.0,-2.0,-0.0,0.8,64,39,0,421.6751509976823
261,65,1,122.0,1.0,-2.0,-0.0,-2.0,-0.0,0.8,65,40,0,370.5678704582939
262,65,2,122.0,1.0,-2.0,-0.0,-2.0,-0.0,0.8,66,41,0,156.03529668965825
263,65,3,122.0,1.0,-2.0,-0.0,-2.0,-0.0,0.8,67,42,1,145.31870612268762
264,66,0,101.0,1.0,1.3,-1.8,0.0,-0.1,-0.4,52,32,0,241.28332549152796
265,66,1,101.0,1.0,1.3,-1.8,0.0,-0.1,-0.4,53,33,0,132.816344627341
266,66,2,101.0,1.0,1.3,-1.8,0.0,-0.1,-0.4,54,34,0,-13.86138881092981
267,66,3,101.0,1.0,1.3,-1.8,0.0,-0.1,-0.4,55,35,0,255.09170616195806
268,67,0,108.0,0.7,-1.6,0.9,-1.0,-0.5,-0.4,31,10,0,358.8689004252286
269,67,1,108.0,0.7,-1.6,0.9,-1.0,-0.5,-0.4,32,11,0,91.36196243127102
270,67,2,108.0,0.7,-1.6,0.9,-1.0,-0.5,-0.4,33,12,0,298.33758661801727
271,67,3,108.0,0.7,-1.6,0.9,-1.0,-0.5,-0.4,34,13,0,88.27801219344978
